WORD1,WORD2,GROUND_TRUTH_SIMILARITY,COSINE_SIMILARITY,WORD1 IN VOCAB,WORD2 IN VOCAB,WORD1 CONSTITUENTS,WORD1 CONSTITUENTS IN VOCAB,WORD2 CONSTITUENTS,WORD2 CONSTITUENTS IN VOCAB
Angebotsseite,Bestandsaufnahme,1.714285714,0.21715332567691803,True,True,Angebots  seite,True False, ,
angehend,Verfahrenstechnik,0.6190476189999999,0.1440822333097458,True,True, ,,Verfahrens  technik,True False
anschließend,Blutspendeaktion,0.47619047600000003,0.0786142498254776,True,True, ,,Blut  spende  aktion,True False False
anschließend,Maschinenfunktion,0.571428571,0.0,True,False, ,,Maschinen  funktion,True False
Arbeitstitel,Abkehr,0.380952381,0.14115206897258759,True,True,Arbeit  titel,True False, ,
Aufgabe,Vertriebstechniker,2.095238095,0.1360541731119156,True,True, ,,Vertriebs  techniker,True False
Ausbildung,Gesundheitswesen,1.761904762,0.3154928684234619,True,True, ,,Gesundheit  wesen,True False
Ausgangsmaterial,Probenehmer,1.428571429,0.2774132490158081,True,True,Ausgangs  material,True False, ,
Baumaschinenmeister,beruflich,2.904761905,0.0,False,True,Bau  maschinen  meister,True False False, ,
Bayern,Unterrichtsmittel,0.857142857,0.11027687042951584,True,True, ,,Unterrichts  mittel,True False
Beurteilung,Verhaltensmuster,2.3809523809999997,0.2541223466396332,True,True, ,,Verhaltens  muster,True False
Bildungsabschluss,Verhaltensmuster,1.2380952379999999,0.16016902029514313,True,True,Bildung  abschluss,True False,Verhaltens  muster,True False
Bildungsträger,Berufspraxis,1.952380952,0.3257193863391876,True,True,Bildung  träger,True False,Berufs  praxis,True False
Core,Metadatenwerkzeug,1.380952381,0.0,True,False, ,,Meta  daten  werkzeug,True False False
Dienst,Ingenieurbüro,2.142857143,0.21880848705768585,True,True, ,,Ingenieur  büro,True False
Eigenaktivität,Durchführung,1.857142857,0.32884547114372253,True,True,Eigen  aktivität,True False, ,
eindimensional,Backware,0.19047619,0.12219124287366867,True,True, ,,Back  ware,True False
erfolgreich,Universität,2.5714285709999998,0.13439153134822845,True,True,erfolg  reich,True False, ,
Erkenntnisinteresse,gleichzeitig,0.523809524,0.1350080966949463,True,True,Erkenntnis  interesse,True False, ,
Erklärung,Aktensperrfrist,1.19047619,0.0,True,False, ,,Akten  sperrfrist,True False
Fachbereichsvertreter,individuell,0.80952381,0.0,False,True,Fachbereichs  vertreter,True False, ,
Familie,Modellvorhaben,0.571428571,0.06358367204666138,True,True, ,,Modell  vorhaben,True False
Feinwerktechnik,Hochschule,1.952380952,0.29240167140960693,True,True,Fein  werk  technik,True False False, ,
Flächeneinsparung,Landwirtschaft,2.333333333,0.0,False,True,Flächen  einsparung,True False, ,
Forschungsverbund,Langzeittherapieprogramm,1.619047619,0.0,True,False,Forschung  verbund,True False,Langzeit  therapie  programm,True False False
Forschungszentrum,Euro,1.285714286,0.0297032929956913,True,True,Forschung  zentrum,True False, ,
Führungsmittel,Gastlandkontakte,0.380952381,0.0,True,False,Führung  mittel,True False,Gast  land  kontakte,True False False
Gegenstand,Filmherstellung,1.047619048,0.14963990449905396,True,True, ,,Film  herstellung,True False
Gentest,Risiko,2.5714285709999998,0.1992282271385193,True,True,Gen  test,True False, ,
Gespannfahren,Altersgruppe,0.380952381,0.20155349373817444,True,True, ,,Alters  gruppe,True False
Gesundheitsbegriff,Entwicklungsgeschichte,0.9523809520000001,0.2244267612695694,True,True,Gesundheit  begriff,True False,Entwicklung  geschichte,True False
Gleitkomma,deaktivieren,0.666666667,0.09117209911346436,True,True,Gleit  komma,True False, ,
groß,Arbeitszeitregelung,0.23809523800000001,0.04117664322257042,True,True, ,,Arbeit  zeit  regelung,True False False
Handlungsanleitung,Kooperationspartner,1.142857143,0.1832050383090973,True,True,Handlung  anleitung,True False,Kooperation  partner,True False
Hubschraubertyp,einschließlich,0.19047619,0.11324117332696915,True,True,Hubschrauber  typ,True False, ,
konkret,Handlungsempfehlung,2.047619048,0.28576990962028503,True,True, ,,Handlung  empfehlung,True False
Konstruktionsbüro,elektro,1.285714286,0.13442279398441315,True,True,Konstruktion  büro,True False, ,
Körpernorm,Lebenszusammenhang,0.904761905,0.0,False,True,Körper  norm,True False,Lebens  zusammenhang,True False
Krankenhausmanagement,Betriebswirt,2.4761904759999998,0.36404871940612793,True,True,Kranken  haus  management,True False False,Betriebs  wirt,True False
künstlich,Samenzahnrad,0.761904762,0.0,True,False, ,,Samen  zahn  rad,True False False
lehren,Verkehrswirtschaft,1.571428571,0.12372943758964539,True,True, ,,Verkehrs  wirtschaft,True False
Lehrerausbildung,Medium,1.619047619,0.21055881679058075,True,True,Lehrer  ausbildung,True False, ,
Lehrerrolle,Hilfe,2.666666667,0.1769905686378479,True,True,Lehrer  rolle,True False, ,
Literaturwissenschaft,allgemein,0.9523809520000001,0.2123645395040512,True,True,Literatur  wissenschaft,True False, ,
Maschinenbau,Beschreibung,1.19047619,0.12538772821426392,True,True,Maschinen  bau,True False, ,
Metall,Berufsbezeichnung,1.285714286,0.18339888751506805,True,True, ,,Berufs  bezeichnung,True False
Migrantinnen,Handelsstruktur,0.761904762,0.22922967374324799,True,True, ,,Handels  struktur,True False
Personaldisposition,überwachen,1.2380952379999999,0.2338908612728119,True,True,Personal  disposition,True False, ,
Pflanzenzüchtung,models,0.428571429,0.08856038749217987,True,True,Pflanzen  züchtung,True False, ,
Politikbereich,altersbezogen,1.2380952379999999,0.0,True,False,Politik  bereich,True False, ,
Pressebüro,Nanopartikel,0.28571428600000004,0.06680409610271454,True,True,Presse  büro,True False, ,
Privatkunde,Bereich,0.9523809520000001,0.20389091968536377,True,True,Privat  kunde,True False, ,
Programmiersystem,Warte,0.6190476189999999,0.14372335374355316,True,True,Programmier  system,True False, ,
Rahmenbedingung,Hochtechnologie,1.761904762,0.2176758199930191,True,True,Rahmen  bedingung,True False,Hoch  technologie,True False
